Date,Unit,Minimum,Maximum,Average,Market
2015-09-09,Kg,25,30,27.5,Tomato
2015-07-26,Kg,40,50,45.0,Tomato
2019-05-14,Kg,85,90,87.5,Tomato
2019-08-01,Kg,60,65,62.5,Tomato
2013-10-01,Kg,38,42,40.0,Tomato
2019-09-29,Kg,35,40,37.5,Tomato
2021-05-10,Kg,10,15,12.5,Tomato
2017-07-10,Kg,20,25,22.5,Tomato
2013-08-16,Kg,35,40,37.5,Tomato
2016-11-19,Kg,25,30,27.5,Tomato
2015-08-09,Kg,70,80,75.0,Tomato
2018-02-11,Kg,15,20,17.5,Tomato
2019-02-05,Kg,15,20,17.5,Tomato
2021-04-02,Kg,30,40,35.0,Tomato
2019-10-24,Kg,55,60,57.5,Tomato
2017-09-21,Kg,60,70,65.0,Tomato
2020-06-19,Kg,15,20,17.5,Tomato
2014-11-19,Kg,18,20,19.0,Tomato
2015-11-15,Kg,90,100,95.0,Tomato
2020-06-30,Kg,20,25,22.5,Tomato
2015-04-25,Kg,50,60,55.0,Tomato
2013-11-05,Kg,55,64,59.5,Tomato
2015-04-29,Kg,55,60,57.5,Tomato
2017-05-30,Kg,30,35,32.5,Tomato
2014-03-24,Kg,30,35,32.5,Tomato
2019-04-14,Kg,30,35,32.5,Tomato
2017-02-18,Kg,15,20,17.5,Tomato
2019-06-02,Kg,65,75,70.0,Tomato
2017-04-14,Kg,30,40,35.0,Tomato
2014-03-20,Kg,40,45,42.5,Tomato
2020-09-10,Kg,40,45,42.5,Tomato
2020-01-24,Kg,14,20,17.0,Tomato
2015-01-28,Kg,16,20,18.0,Tomato
2016-02-21,Kg,20,30,25.0,Tomato
2021-02-10,Kg,15,20,17.5,Tomato
2017-08-18,Kg,75,80,77.5,Tomato
2020-12-10,Kg,55,65,60.0,Tomato
2018-11-11,Kg,18,24,21.0,Tomato
2019-06-12,Kg,40,50,45.0,Tomato
2019-04-03,Kg,30,35,32.5,Tomato
2015-12-15,Kg,45,55,50.0,Tomato
2017-03-08,Kg,25,30,27.5,Tomato
2020-01-28,Kg,15,25,20.0,Tomato
2018-04-24,Kg,20,25,22.5,Tomato
2020-12-06,Kg,45,50,47.5,Tomato
2020-04-27,Kg,20,25,22.5,Tomato
2014-02-17,Kg,28,32,30.0,Tomato
2015-04-19,Kg,30,35,32.5,Tomato
2015-08-10,Kg,70,75,72.5,Tomato
2020-08-19,Kg,55,60,57.5,Tomato
2018-05-11,Kg,20,25,22.5,Tomato
2016-05-18,Kg,45,55,50.0,Tomato
2017-08-25,Kg,50,55,52.5,Tomato
2020-12-28,Kg,50,55,52.5,Tomato
2018-10-13,Kg,60,65,62.5,Tomato
2016-02-17,Kg,25,30,27.5,Tomato
2017-08-11,Kg,50,55,52.5,Tomato
2019-01-01,Kg,20,25,22.5,Tomato
2016-12-27,Kg,20,25,22.5,Tomato
2017-02-27,Kg,15,20,17.5,Tomato
2016-04-11,Kg,25,30,27.5,Tomato
2017-11-25,Kg,52,58,55.0,Tomato
2015-11-28,Kg,55,65,60.0,Tomato
2018-03-09,Kg,30,35,32.5,Tomato
2021-01-28,Kg,20,25,22.5,Tomato
2014-12-16,Kg,24,30,27.0,Tomato
2017-09-28,Kg,55,65,60.0,Tomato
2014-02-20,Kg,34,38,36.0,Tomato
2018-04-19,Kg,20,25,22.5,Tomato
2015-03-18,Kg,40,45,42.5,Tomato
2015-06-01,Kg,50,55,52.5,Tomato
2016-07-06,Kg,60,70,65.0,Tomato
2016-03-04,Kg,25,30,27.5,Tomato
2015-01-21,Kg,25,30,27.5,Tomato
2018-03-07,Kg,30,35,32.5,Tomato
2016-04-26,Kg,30,40,35.0,Tomato
2020-01-01,Kg,35,45,40.0,Tomato
2018-08-28,Kg,20,25,22.5,Tomato
2017-03-07,Kg,25,30,27.5,Tomato
2016-03-24,Kg,40,50,45.0,Tomato
2018-08-13,Kg,33,36,34.5,Tomato
2014-12-17,Kg,32,36,34.0,Tomato
2020-07-04,Kg,10,15,12.5,Tomato
2020-10-09,Kg,40,45,42.5,Tomato
2013-11-21,Kg,55,65,60.0,Tomato
2020-05-31,Kg,10,15,12.5,Tomato
2019-05-06,Kg,65,70,67.5,Tomato
2017-03-24,Kg,25,30,27.5,Tomato
2020-09-25,Kg,85,90,87.5,Tomato
2013-10-09,Kg,75,80,77.5,Tomato
2015-11-04,Kg,40,45,42.5,Tomato
2021-03-01,Kg,8,12,10.0,Tomato
2020-06-01,Kg,15,20,17.5,Tomato
2020-01-29,Kg,15,25,20.0,Tomato
